loss,feature_norm
46689.027202,0.5
42246.682852,0.446152
39633.26819,0.531523
37400.987155,0.655222
33308.541907,0.627284
21794.746516,0.536369
19421.963194,0.664281
17196.576704,0.948636
12712.635453,2.541398
12404.621791,2.564361
12231.398078,2.647002
12163.775884,2.832402
12131.335453,2.9152
12105.407064,2.947521
11954.23794,2.856733
11516.532984,3.103912
11361.226978,2.922013
11167.019168,2.940873
11100.739375,2.874972
11079.004581,2.882679
10971.057275,2.857254
10947.138291,2.901469
10929.704419,2.907108
10817.230311,2.955976
10804.325017,3.019799
10736.051864,3.026698
10720.287277,3.033945
10662.118841,3.045449
10600.518542,3.062951
10588.011054,3.088449
10522.761376,3.092845
10515.270332,3.098524
10509.990379,3.101859
10503.827809,3.103895
10484.992236,3.109916
10464.274156,3.092116
10436.546035,3.111476
10431.839494,3.108434
10405.548043,3.116795
10398.020156,3.115954
10388.259615,3.109465
10375.278841,3.101591
10363.683084,3.088478
10345.432407,3.067638
10332.484149,3.015693
10327.534633,3.012323
10325.155702,3.012038
10321.74716,3.009638
10319.261354,3.00739
10316.895882,3.007087
10315.611846,3.004461
10312.62874,3.007283
10310.152053,3.001799
10308.020791,2.999001
10306.506877,2.993331
10304.65162,2.994404
10302.545922,2.987373
10300.783544,2.985444
10300.327972,2.979138
10298.200669,2.98039
10297.056329,2.971856
10294.973373,2.97413
10294.012686,2.971918
10293.331949,2.972189
10293.068303,2.973009
10292.592593,2.973336
10292.32353,2.975055
10291.340907,2.976813
10290.678733,2.981466
10289.091329,2.985453
10287.420322,2.995569
10286.679507,3.002023
10284.91297,3.014708
10284.365795,3.022218
10283.412325,3.027356
10282.622282,3.034982
10282.325222,3.038213
10282.224998,3.047556
10281.527291,3.052071
10281.203386,3.055939
10281.09952,3.057328
10280.912754,3.059159
10280.641953,3.059415
10280.610788,3.058263
10280.083646,3.05858
10279.443302,3.057419
10279.291681,3.055848
10279.142511,3.055733
10278.96543,3.054642
10278.458046,3.051551
10278.338345,3.050022
10277.892034,3.033816
10277.71101,3.051103
10276.916854,3.029191
10276.71684,3.040385
10276.433391,3.027982
10276.034992,3.042579
10275.80966,3.026584
10275.500078,3.043598
10275.257164,3.031822
10274.981897,3.04046
10274.666858,3.032839
10273.501769,3.032504
10272.83009,3.015557
10272.673149,3.01713
10271.224303,3.002344
10270.722476,3.004514
10269.451754,2.990781
10268.634665,2.991351
10268.589885,2.991156
10268.537921,2.99118
10268.488794,2.991155
10268.457308,2.991185
10268.406159,2.991172
10268.23667,2.991086
10267.912067,2.990965
10266.659017,2.990126
10265.939034,2.991032
10265.726014,2.990747
10265.701942,2.992469
10265.464993,2.991215
10265.377981,2.992097
10265.289198,2.991889
10265.078457,2.993869
10264.975196,2.995018
10264.752496,2.99598
10264.514794,2.998608
10264.365275,3.000283
10264.327047,3.00198
10264.095924,3.003713
10264.032537,3.004973
10263.866486,3.006633
10263.683676,3.00987
10263.46238,3.013037
10263.410907,3.016233
10263.259318,3.017664
10263.222049,3.018856
10263.190594,3.019576
10263.160575,3.021182
10263.108772,3.021781
10263.065469,3.023044
10263.047105,3.02349
10262.998147,3.02645
10262.854144,3.0268
10262.770801,3.029005
10262.694081,3.029083
10262.59404,3.031781
10262.539163,3.032102
10262.407909,3.033837
10262.29295,3.034241
10262.204307,3.036139
10262.099858,3.036346
10262.0553,3.038135
10261.954687,3.038313
10261.900569,3.039458
10261.8445,3.039605
10261.764397,3.040556
10261.755907,3.04058
10261.721873,3.042158
10261.654502,3.042229
10261.547662,3.043537
10261.540923,3.043487
10261.5305,3.04394
10261.51462,3.043762
10261.489424,3.044256
10261.476704,3.043953
10261.45958,3.044431
10261.440205,3.04412
10261.434652,3.044232
10261.416826,3.043839
10261.410937,3.043751
10261.404957,3.04264
10261.374323,3.042804
10261.342586,3.041639
10261.22432,2.996317
10260.739888,2.997306
10260.626645,2.995158
10260.504804,2.994958
10260.44089,2.993629
10260.359788,2.988641
10260.118794,2.987339
10259.997039,2.986604
10259.910249,2.983183
10259.704716,2.979164
10259.389329,2.977995
10259.350389,2.975977
10259.261983,2.975169
10259.16861,2.974172
10259.000928,2.971859
10258.90185,2.969955
10258.773825,2.969162
10258.6054,2.967861
10258.534569,2.967452
10258.062614,2.965143
10257.931991,2.965177
