loss,feature_norm
28411.988458,1.0
13208.330934,0.363516
11708.34393,0.304049
10132.784248,0.361114
8367.295599,0.826641
5915.709075,1.285284
5601.455661,1.398239
5314.236222,1.577146
5280.060308,1.66395
5230.131511,1.763723
5044.860557,1.949581
4647.785971,2.364975
4411.433663,2.594362
3888.548229,2.310435
3876.483393,2.289537
3821.980086,2.286792
3559.754068,2.428112
3300.93923,2.802354
3130.502,3.462037
3111.999109,3.502587
3086.309639,3.446606
3079.407108,3.43856
3069.338508,3.457725
3052.685904,3.502355
3017.558184,3.499657
2966.453176,3.550292
2869.818826,3.728427
2861.145313,3.703424
2856.156818,3.74112
2855.136646,3.748504
2839.800346,3.838676
2832.37301,3.934268
2802.476902,4.084108
2750.852575,4.121991
2655.898949,4.555967
2586.588032,4.713047
2544.942558,4.837469
2500.822732,5.275185
2451.352313,5.437783
2433.566814,5.761804
2431.866215,5.658747
2424.984178,5.947539
2421.492727,6.000876
2413.755783,6.073426
2376.270157,6.280339
2361.600239,6.667813
2340.624829,6.460864
2332.753026,6.351901
2315.387443,6.143086
2305.328305,6.177303
2289.64246,6.269277
2273.571725,6.604752
2258.652718,6.800901
2250.191007,6.879411
2247.748868,6.863262
2247.106536,6.970769
2243.541063,6.901741
2236.574883,6.779137
2224.727238,6.649773
2206.211125,6.448238
2203.154527,6.508649
2185.376575,6.365651
2178.83908,6.418984
2177.263231,6.503791
2176.567238,6.528127
2170.104253,6.647893
2156.08794,6.848771
2133.081094,7.138282
2131.947417,7.135806
2104.808303,7.234739
2103.096228,7.224541
2087.432657,7.148268
2081.207091,7.06747
2079.112911,7.028182
2076.838345,6.997408
2070.956268,6.970088
2060.331963,7.015014
2059.80445,7.001037
2047.859972,7.139403
2036.417568,7.621262
2008.671448,7.787388
1999.055529,7.961205
1994.689828,8.098766
1988.85236,8.116642
1987.594189,8.12116
1977.649227,8.263822
1955.56713,8.71969
1949.506153,8.936455
1938.813993,9.42627
1933.412078,9.793957
1927.449835,10.086642
1920.178359,10.345863
1907.057358,10.777613
1896.013352,10.691778
1880.054036,10.554497
1864.94645,11.627023
1860.449768,11.478633
1859.76218,11.064477
1857.51043,11.286934
1855.289705,11.435917
1848.808662,11.72724
1837.041251,12.067355
1824.012227,12.117097
1809.527785,12.386413
1803.897932,12.055506
1802.050673,11.836662
1800.181735,11.789817
1785.505325,11.716055
1770.627437,11.978605
1764.712818,12.246643
1759.259373,13.306444
1749.980208,13.210763
1748.470236,13.296707
1748.044858,13.351704
1744.535438,13.41857
1736.302118,13.624236
1725.291187,13.674791
1724.662302,13.629129
1716.822665,13.470611
1714.953994,13.174521
1711.45032,13.014825
1710.501428,12.955142
1709.363585,12.900805
1707.544481,12.855018
1703.402908,12.836985
1701.746533,12.75277
1693.490545,12.785373
1679.118284,13.322992
1675.895709,13.287127
1667.386561,13.613602
1662.68059,13.901015
1637.87891,14.560368
1621.21073,15.291772
1611.627295,15.438747
1610.292462,15.373383
1609.708562,15.254992
1605.752095,15.410582
1577.46006,15.403565
1521.465178,16.288768
1516.20485,16.545509
1507.512419,17.081777
1505.586375,17.042532
1500.086285,17.425059
1496.437864,17.587702
1495.489415,17.602952
1492.939593,17.576466
1492.271979,17.612243
1490.473552,17.425321
1489.89071,17.414514
1488.316323,17.185591
1466.544478,17.429865
1466.205662,17.410186
1465.464669,17.334849
1463.876171,17.2703
1461.299561,17.328162
1460.755595,17.415144
1447.899406,18.17959
1434.751798,18.750674
1418.417819,20.438112
1392.913219,21.754138
1388.177199,21.70342
1387.653681,21.763954
1379.0085,21.362561
1378.597874,21.364404
1377.33554,21.350187
1376.655213,21.356465
1374.355803,21.369306
1371.83273,21.419757
1371.312694,21.379118
1369.294171,21.427419
1359.687233,21.530216
1340.866486,21.133472
1331.061851,21.208777
1329.844983,21.108569
1312.268109,20.840186
1312.051982,20.845883
1309.907392,20.832179
1297.96392,20.697479
1295.523884,20.848728
1295.222315,20.830969
1294.983184,20.799114
1294.056575,20.794632
1286.49449,21.027268
1273.306458,21.172566
1264.92309,21.367371
1258.758613,21.527455
1255.318775,21.459224
1250.002589,21.502936
1245.454515,21.583523
1243.11946,21.513811
1241.321477,21.447898
1240.066758,21.410813
1238.991503,21.398934
1237.433849,21.408769
1235.915227,21.463717
1235.411745,21.500738
1234.640548,21.53644
1234.116635,21.564948
1233.230295,21.617282
1229.979064,21.618773
1217.319457,21.655403
1214.702889,21.580401
1213.699734,21.553041
1213.145331,21.52496
1211.917457,21.567835
1211.374265,21.613368
1207.995572,21.633038
1205.221483,21.649777
1203.498104,21.654122
1201.23274,21.690495
1197.500336,21.67872
1192.232931,21.701368
1183.38931,21.780797
1179.295981,21.85549
1177.94085,21.881522
1177.081193,21.897437
1176.500633,21.900944
1174.355825,21.898028
1171.236997,21.907702
1170.686077,21.817617
1166.709381,21.845626
1165.499487,21.840133
1164.37796,21.837656
1163.09115,21.877748
1162.54212,21.859159
1161.552902,21.862344
1160.862081,21.866928
1153.887316,21.938638
1148.658682,22.019758
1147.339531,22.094852
1146.667831,22.091452
1146.309413,22.061154
1145.759718,22.060048
1144.520658,22.066145
1143.477749,22.069322
1140.276118,22.089258
1138.350564,22.180037
1135.246685,22.232928
1127.558128,22.285636
1114.004648,22.498201
1112.753199,22.553667
1112.206073,22.569752
1111.625107,22.568053
1109.706479,22.546307
1108.907338,22.527069
1108.529468,22.509374
1108.444746,22.50872
1107.917714,22.509301
1104.579276,22.609687
1101.541877,22.608216
1094.989326,22.688985
1094.42378,22.724828
1092.840403,22.793913
1091.813312,22.929027
1090.677428,22.909218
1089.772791,22.922474
1088.085704,22.952291
1083.165396,23.116291
1082.453444,23.345682
1079.946283,23.434183
1079.232493,23.439086
1078.044881,23.465807
1077.824463,23.417462
1074.429575,23.531201
1057.246202,24.147365
1055.216461,24.456204
1052.20619,24.596259
1051.254272,24.570524
1050.930464,24.589612
1050.800088,24.581412
1050.301349,24.550637
1047.524353,24.596324
1047.046953,24.723914
1043.190396,24.962687
1043.06522,25.000333
1042.481466,25.092636
1041.981844,25.179974
1041.451656,25.182865
1039.996991,25.325493
1036.412049,25.50847
1031.727913,25.80448
1031.520873,25.798304
1028.143771,25.864186
1025.029571,25.774819
1022.879793,25.620836
1021.714255,25.518274
1020.100907,25.41784
1012.87439,25.197327
1012.773891,25.188969
1008.07376,25.424126
1002.684844,25.921734
998.941039,26.687649
997.758316,26.716705
996.981712,26.691223
992.635778,26.78999
991.678297,26.845697
987.664368,26.983366
986.065916,27.051553
984.870394,27.104058
983.735659,27.358178
980.493901,27.358576
976.723063,27.446081
973.240876,27.681208
971.766816,27.793987
970.311816,28.034419
968.897379,28.0513
967.876334,28.079409
967.079561,28.122718
966.650561,28.141336
966.109562,28.163945
964.945715,28.254236
964.864191,28.291273
962.851372,28.398966
959.449075,28.615238
955.098513,28.910138
949.006592,29.214208
943.67643,29.329537
941.342728,29.518273
941.278763,29.57359
936.845606,29.982116
934.264273,30.389676
932.743626,30.355995
931.757316,30.280204
930.844501,30.240499
927.229868,30.254761
922.829003,30.718028
915.600771,30.837211
909.982856,31.094289
908.266132,31.374045
906.499826,31.68836
903.387825,31.866709
900.406178,31.98506
897.721122,32.628699
894.61691,32.383952
893.779039,32.233667
893.695773,32.193687
893.56704,32.156986
893.2938,32.129496
892.166731,32.039967
891.868164,31.964276
